baseline,split,sample_idx,source_time,target_time,target_var,n_land_pixels,mae,rmse,mean_signed_error
persistence,val,36,2024-07-02T18:00:00,2024-07-03T00:00:00,stl1,351848,2.260512e+00,3.639571e+00,1.232002e+00
persistence,val,36,2024-07-02T18:00:00,2024-07-03T00:00:00,sd,351848,2.058794e-05,2.317568e-04,-1.298243e-06
persistence,val,37,2024-07-02T19:00:00,2024-07-03T01:00:00,swvl1,351848,4.260815e-03,1.205835e-02,-7.413398e-04
persistence,val,37,2024-07-02T19:00:00,2024-07-03T01:00:00,stl1,351848,2.264629e+00,3.529961e+00,1.181727e+00
persistence,val,37,2024-07-02T19:00:00,2024-07-03T01:00:00,sd,351848,2.101629e-05,2.377879e-04,-3.110660e-06
persistence,val,38,2024-07-02T20:00:00,2024-07-03T02:00:00,swvl1,351848,4.355229e-03,1.228828e-02,-6.420449e-04
persistence,val,38,2024-07-02T20:00:00,2024-07-03T02:00:00,stl1,351848,2.359635e+00,3.612830e+00,5.520546e-01
persistence,val,38,2024-07-02T20:00:00,2024-07-03T02:00:00,sd,351848,2.154671e-05,2.462532e-04,-4.513650e-06
persistence,val,39,2024-07-02T21:00:00,2024-07-03T03:00:00,swvl1,351848,4.479600e-03,1.247345e-02,-4.994353e-04
persistence,val,39,2024-07-02T21:00:00,2024-07-03T03:00:00,stl1,351848,2.531958e+00,3.853545e+00,3.276778e-01
persistence,val,39,2024-07-02T21:00:00,2024-07-03T03:00:00,sd,351848,2.210712e-05,2.528795e-04,-5.259130e-06
persistence,val,40,2024-07-02T22:00:00,2024-07-03T04:00:00,swvl1,351848,3.604249e-03,1.039517e-02,1.250715e-04
persistence,val,40,2024-07-02T22:00:00,2024-07-03T04:00:00,stl1,351848,2.333623e+00,3.659601e+00,2.382043e-01
persistence,val,40,2024-07-02T22:00:00,2024-07-03T04:00:00,sd,351848,2.213560e-05,2.542165e-04,-4.452184e-06
persistence,val,41,2024-07-02T23:00:00,2024-07-03T05:00:00,swvl1,351848,3.667952e-03,1.013558e-02,3.902777e-04
persistence,val,41,2024-07-02T23:00:00,2024-07-03T05:00:00,stl1,351848,2.677565e+00,4.163150e+00,-3.628831e-01
persistence,val,41,2024-07-02T23:00:00,2024-07-03T05:00:00,sd,351848,2.292000e-05,2.592401e-04,-3.894252e-06
persistence,val,42,2024-07-03T00:00:00,2024-07-03T06:00:00,swvl1,351848,3.735619e-03,9.877495e-03,6.276463e-04
persistence,val,42,2024-07-03T00:00:00,2024-07-03T06:00:00,stl1,351848,2.767044e+00,4.418066e+00,-6.977799e-01
persistence,val,42,2024-07-03T00:00:00,2024-07-03T06:00:00,sd,351848,1.524408e-05,2.275681e-04,-2.020034e-06
persistence,val,43,2024-07-03T01:00:00,2024-07-03T07:00:00,swvl1,351848,3.800688e-03,9.594037e-03,7.859649e-04
persistence,val,43,2024-07-03T01:00:00,2024-07-03T07:00:00,stl1,351848,2.839959e+00,4.612512e+00,-1.049216e+00
persistence,val,43,2024-07-03T01:00:00,2024-07-03T07:00:00,sd,351848,1.606045e-05,2.344244e-04,-9.915423e-07
persistence,val,44,2024-07-03T02:00:00,2024-07-03T08:00:00,swvl1,351848,3.838765e-03,9.389412e-03,8.639601e-04
persistence,val,44,2024-07-03T02:00:00,2024-07-03T08:00:00,stl1,351848,2.744754e+00,4.502639e+00,-1.162694e+00
persistence,val,44,2024-07-03T02:00:00,2024-07-03T08:00:00,sd,351848,1.680342e-05,2.462803e-04,-7.771467e-08
persistence,val,45,2024-07-03T03:00:00,2024-07-03T09:00:00,swvl1,351848,3.864644e-03,9.365635e-03,8.327590e-04
persistence,val,45,2024-07-03T03:00:00,2024-07-03T09:00:00,stl1,351848,2.876352e+00,4.858145e+00,-1.436947e+00
persistence,val,45,2024-07-03T03:00:00,2024-07-03T09:00:00,sd,351848,1.731796e-05,2.596508e-04,6.012722e-07
persistence,val,46,2024-07-03T04:00:00,2024-07-03T10:00:00,swvl1,351848,4.349724e-03,1.000900e-02,5.391272e-04
persistence,val,46,2024-07-03T04:00:00,2024-07-03T10:00:00,stl1,351848,3.122717e+00,5.368531e+00,-1.657511e+00
persistence,val,46,2024-07-03T04:00:00,2024-07-03T10:00:00,sd,351848,1.993898e-05,3.029854e-04,1.018784e-05
persistence,val,47,2024-07-03T05:00:00,2024-07-03T11:00:00,swvl1,351848,4.371841e-03,1.029626e-02,3.643557e-04
persistence,val,47,2024-07-03T05:00:00,2024-07-03T11:00:00,stl1,351848,2.908951e+00,5.170172e+00,-1.406974e+00
persistence,val,47,2024-07-03T05:00:00,2024-07-03T11:00:00,sd,351848,2.156374e-05,3.254881e-04,1.251239e-05
persistence,val,48,2024-07-03T06:00:00,2024-07-03T12:00:00,swvl1,351848,4.379181e-03,1.058278e-02,1.726355e-04
persistence,val,48,2024-07-03T06:00:00,2024-07-03T12:00:00,stl1,351848,2.976444e+00,5.306940e+00,-1.371539e+00
persistence,val,48,2024-07-03T06:00:00,2024-07-03T12:00:00,sd,351848,2.285074e-05,3.430503e-04,1.437589e-05
persistence,val,49,2024-07-03T07:00:00,2024-07-03T13:00:00,swvl1,351848,4.405819e-03,1.087247e-02,8.872599e-06
persistence,val,49,2024-07-03T07:00:00,2024-07-03T13:00:00,stl1,351848,2.853265e+00,5.098134e+00,-1.211451e+00
persistence,val,49,2024-07-03T07:00:00,2024-07-03T13:00:00,sd,351848,2.392330e-05,3.579282e-04,1.589125e-05
persistence,val,50,2024-07-03T08:00:00,2024-07-03T14:00:00,swvl1,351848,4.436073e-03,1.111012e-02,-1.249169e-04
persistence,val,50,2024-07-03T08:00:00,2024-07-03T14:00:00,stl1,351848,2.691210e+00,4.577218e+00,-7.075388e-01
persistence,val,50,2024-07-03T08:00:00,2024-07-03T14:00:00,sd,351848,2.517402e-05,3.772778e-04,1.733872e-05
persistence,val,51,2024-07-03T09:00:00,2024-07-03T15:00:00,swvl1,351848,4.457818e-03,1.135120e-02,-1.958709e-04
persistence,val,51,2024-07-03T09:00:00,2024-07-03T15:00:00,stl1,351848,2.652274e+00,4.334111e+00,-4.055851e-01
persistence,val,51,2024-07-03T09:00:00,2024-07-03T15:00:00,sd,351848,2.575243e-05,3.848455e-04,1.776251e-05
persistence,val,52,2024-07-03T10:00:00,2024-07-03T16:00:00,swvl1,351848,3.574518e-03,9.900792e-03,-4.227642e-05
persistence,val,52,2024-07-03T10:00:00,2024-07-03T16:00:00,stl1,351848,2.454213e+00,3.919362e+00,-3.170488e-02
persistence,val,52,2024-07-03T10:00:00,2024-07-03T16:00:00,sd,351848,1.801401e-05,2.281244e-04,9.291863e-06
persistence,val,53,2024-07-03T11:00:00,2024-07-03T17:00:00,swvl1,351848,3.500679e-03,9.795710e-03,-2.800862e-05
persistence,val,53,2024-07-03T11:00:00,2024-07-03T17:00:00,stl1,351848,2.859043e+00,4.372109e+00,4.967370e-01
persistence,val,53,2024-07-03T11:00:00,2024-07-03T17:00:00,sd,351848,1.797219e-05,2.372002e-04,8.028807e-06
persistence,val,54,2024-07-03T12:00:00,2024-07-03T18:00:00,swvl1,351848,3.467489e-03,9.734180e-03,-3.969534e-06
persistence,val,54,2024-07-03T12:00:00,2024-07-03T18:00:00,stl1,351848,3.080211e+00,4.674233e+00,7.873919e-01
persistence,val,54,2024-07-03T12:00:00,2024-07-03T18:00:00,sd,351848,1.852046e-05,2.522422e-04,7.034191e-06
persistence,val,55,2024-07-03T13:00:00,2024-07-03T19:00:00,swvl1,351848,3.447246e-03,9.673499e-03,1.233720e-05
persistence,val,55,2024-07-03T13:00:00,2024-07-03T19:00:00,stl1,351848,3.212160e+00,4.898205e+00,1.008831e+00
persistence,val,55,2024-07-03T13:00:00,2024-07-03T19:00:00,sd,351848,1.905732e-05,2.629007e-04,6.308102e-06
persistence,val,56,2024-07-03T14:00:00,2024-07-03T20:00:00,swvl1,351848,3.422820e-03,9.608781e-03,-1.232599e-05
persistence,val,56,2024-07-03T14:00:00,2024-07-03T20:00:00,stl1,351848,3.216469e+00,4.938229e+00,1.244411e+00
persistence,val,56,2024-07-03T14:00:00,2024-07-03T20:00:00,sd,351848,1.971412e-05,2.712434e-04,5.380028e-06
persistence,val,57,2024-07-03T15:00:00,2024-07-03T21:00:00,swvl1,351848,3.406988e-03,9.652956e-03,-8.181834e-05
persistence,val,57,2024-07-03T15:00:00,2024-07-03T21:00:00,stl1,351848,2.996363e+00,4.742634e+00,1.427469e+00
persistence,val,57,2024-07-03T15:00:00,2024-07-03T21:00:00,sd,351848,1.914047e-05,2.623595e-04,5.047276e-06
persistence,val,58,2024-07-03T16:00:00,2024-07-03T22:00:00,swvl1,351848,3.947208e-03,1.047006e-02,-5.951020e-04
persistence,val,58,2024-07-03T16:00:00,2024-07-03T22:00:00,stl1,351848,2.797275e+00,4.600527e+00,1.412331e+00
persistence,val,58,2024-07-03T16:00:00,2024-07-03T22:00:00,sd,351848,1.839055e-05,2.470741e-04,4.135566e-06
persistence,val,59,2024-07-03T17:00:00,2024-07-03T23:00:00,swvl1,351848,3.956701e-03,1.062233e-02,-6.907680e-04
persistence,val,59,2024-07-03T17:00:00,2024-07-03T23:00:00,stl1,351848,2.415965e+00,3.959260e+00,1.197043e+00
persistence,val,59,2024-07-03T17:00:00,2024-07-03T23:00:00,sd,351848,1.743866e-05,2.330393e-04,2.994354e-06
persistence,val,60,2024-07-03T18:00:00,2024-07-04T00:00:00,swvl1,351848,3.994180e-03,1.083628e-02,-7.569654e-04
persistence,val,60,2024-07-03T18:00:00,2024-07-04T00:00:00,stl1,351848,2.287456e+00,3.663709e+00,1.197959e+00
persistence,val,60,2024-07-03T18:00:00,2024-07-04T00:00:00,sd,351848,1.935997e-05,2.258986e-04,-4.070560e-06
persistence,val,61,2024-07-03T19:00:00,2024-07-04T01:00:00,swvl1,351848,4.087791e-03,1.107717e-02,-7.716628e-04
persistence,val,61,2024-07-03T19:00:00,2024-07-04T01:00:00,stl1,351848,2.274635e+00,3.533190e+00,1.145637e+00
persistence,val,61,2024-07-03T19:00:00,2024-07-04T01:00:00,sd,351848,1.918469e-05,2.203876e-04,-5.733918e-06
persistence,val,62,2024-07-03T20:00:00,2024-07-04T02:00:00,swvl1,351848,4.208088e-03,1.128799e-02,-6.984692e-04
persistence,val,62,2024-07-03T20:00:00,2024-07-04T02:00:00,stl1,351848,2.329114e+00,3.550052e+00,5.337709e-01
persistence,val,62,2024-07-03T20:00:00,2024-07-04T02:00:00,sd,351848,1.917983e-05,2.152024e-04,-6.898356e-06
persistence,val,63,2024-07-03T21:00:00,2024-07-04T03:00:00,swvl1,351848,4.353813e-03,1.147799e-02,-5.438738e-04
persistence,val,63,2024-07-03T21:00:00,2024-07-04T03:00:00,stl1,351848,2.458968e+00,3.745236e+00,3.203939e-01
persistence,val,63,2024-07-03T21:00:00,2024-07-04T03:00:00,sd,351848,1.939573e-05,2.125651e-04,-7.508036e-06
persistence,val,64,2024-07-03T22:00:00,2024-07-04T04:00:00,swvl1,351848,3.600505e-03,9.866496e-03,7.729911e-05
persistence,val,64,2024-07-03T22:00:00,2024-07-04T04:00:00,stl1,351848,2.306657e+00,3.600556e+00,2.045185e-01
persistence,val,64,2024-07-03T22:00:00,2024-07-04T04:00:00,sd,351848,1.872512e-05,2.097124e-04,-7.391201e-06
persistence,val,65,2024-07-03T23:00:00,2024-07-04T05:00:00,swvl1,351848,3.710619e-03,9.739624e-03,2.656601e-04
persistence,val,65,2024-07-03T23:00:00,2024-07-04T05:00:00,stl1,351848,2.639367e+00,4.103307e+00,-3.441507e-01
persistence,val,65,2024-07-03T23:00:00,2024-07-04T05:00:00,sd,351848,1.919561e-05,2.115383e-04,-7.027971e-06
persistence,val,66,2024-07-04T00:00:00,2024-07-04T06:00:00,swvl1,351848,3.854133e-03,9.751506e-03,4.151398e-04
persistence,val,66,2024-07-04T00:00:00,2024-07-04T06:00:00,stl1,351848,2.752020e+00,4.373407e+00,-6.735535e-01
persistence,val,66,2024-07-04T00:00:00,2024-07-04T06:00:00,sd,351848,1.358883e-05,1.804163e-04,-5.388338e-07
persistence,val,67,2024-07-04T01:00:00,2024-07-04T07:00:00,swvl1,351848,4.006805e-03,9.857606e-03,4.921121e-04
persistence,val,67,2024-07-04T01:00:00,2024-07-04T07:00:00,stl1,351848,2.856609e+00,4.613792e+00,-1.031297e+00
persistence,val,67,2024-07-04T01:00:00,2024-07-04T07:00:00,sd,351848,1.398966e-05,1.861982e-04,6.065658e-07
persistence,val,68,2024-07-04T02:00:00,2024-07-04T08:00:00,swvl1,351848,4.145160e-03,1.012468e-02,5.109836e-04
persistence,val,68,2024-07-04T02:00:00,2024-07-04T08:00:00,stl1,351848,2.784358e+00,4.576548e+00,-1.179490e+00
persistence,val,68,2024-07-04T02:00:00,2024-07-04T08:00:00,sd,351848,1.413947e-05,1.918775e-04,1.611576e-06
